@relation Simpsons-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R2-6-weka.filters.unsupervised.attribute.Remove-R1

@attribute qtdBranco numeric
@attribute qtdPreto numeric
@attribute qtdVermelho numeric
@attribute qtdLaranja numeric
@attribute qtdAzulEscuro numeric
@attribute qtdAzulClaro numeric
@attribute qtdMarromClaro numeric
@attribute class {Bart,Lisa,Marge,Maggie,Homer}

@data
21090,28,3032,0,0,0,0,Lisa
25019,61,2514,0,0,0,0,Lisa
128245,12713,8484,5300,0,4275,0,Lisa
15670,194,2154,0,0,0,0,Lisa
32888,29,2427,0,17,0,0,Lisa
19579,351,2443,0,0,0,0,Lisa
31543,114,826,0,0,0,0,Lisa
30789,935,662,0,0,0,0,Lisa
31857,0,1040,764,0,0,130,Lisa
11592,72,2536,0,0,0,0,Lisa
23326,116,681,0,0,0,0,Lisa
21746,48,2881,0,0,0,0,Lisa
50693,64,2734,3,0,678,25,Lisa
31519,0,1645,704,0,0,120,Lisa
9150,121,1243,0,0,0,0,Lisa
23910,0,3584,0,0,0,0,Lisa
17676,17,3548,0,0,0,0,Lisa
23062,66,2150,0,0,0,0,Lisa
8130,0,1152,0,0,0,0,Lisa
14721,720,0,0,0,0,0,Lisa
13777,179,135,0,0,0,0,Lisa
18875,643,6577,0,0,0,0,Lisa
52398,633,0,0,0,0,0,Lisa
31730,1926,0,0,0,0,0,Lisa
31276,812,2468,0,0,0,0,Lisa
34768,3276,2378,0,0,0,23,Lisa
37034,1577,6977,0,0,0,0,Lisa
16664,106,3866,0,0,0,0,Lisa
16872,2333,341,0,0,10271,0,Maggie
32554,2269,648,0,0,11319,0,Maggie
22366,0,95,0,0,2750,0,Maggie
18370,0,172,0,0,4893,0,Maggie
14335,41,152,0,0,2263,0,Maggie
6049,54,322,0,0,2800,0,Maggie
9357,10,1800,0,0,1437,0,Maggie
10313,0,96,0,0,237,49,Maggie
20168,805,373,0,0,5909,0,Maggie
22677,212,3672,0,0,2675,0,Maggie
44831,5574,717,15045,0,733,2865,Maggie
33977,0,206,0,0,4455,0,Maggie
26403,0,179,3797,0,3152,0,Maggie
17135,0,32,0,0,1323,0,Maggie
22974,0,1990,0,0,4743,0,Maggie
18738,698,476,0,0,4163,0,Maggie
6226,0,61,0,0,1849,0,Maggie
4370,0,33,0,0,1693,0,Maggie
5079,400,170,0,0,2080,24,Maggie
13298,45,125,0,0,4402,8,Maggie
25725,0,0,0,0,0,0,Maggie
9073,233,0,0,0,0,0,Maggie
28544,2663,0,0,0,0,9,Maggie
29833,1760,989,0,0,0,0,Maggie
17631,3285,0,0,0,0,0,Maggie
5119,3,0,0,0,0,0,Maggie
74201,183,705,0,0,15805,0,Maggie
26442,176,463,0,0,12571,0,Maggie
19393,208,0,0,0,9915,3,Maggie
46362,2149,905,0,0,9403,0,Maggie
11639,135,147,0,0,0,0,Marge
11230,163,68,0,3611,0,0,Marge
21882,0,905,0,2447,0,0,Marge
16553,0,411,0,12553,0,0,Marge
8777,0,322,0,0,0,0,Marge
26065,829,117,0,2749,0,0,Marge
50603,133,3857,0,3039,0,0,Marge
40434,250,65,1,4354,0,0,Marge
23359,305,169,0,2928,0,51,Marge
5861,410,81,0,6580,0,0,Marge
15275,734,144,0,4381,0,0,Marge
23408,3,99,0,3076,0,0,Marge
25329,629,236,0,4052,0,0,Marge
11438,17,106,0,4045,0,0,Marge
20027,1332,427,0,6208,0,0,Marge
14508,0,0,1600,5578,0,0,Marge
17645,0,334,20,2875,0,0,Marge
46632,104,0,0,2922,0,0,Marge
35926,501,0,0,5540,0,0,Marge
26621,323,0,0,0,0,1,Marge
30482,590,0,0,0,0,8,Marge
80735,1692,636,0,0,0,849,Marge
50691,939,155,0,0,0,0,Marge
23795,1836,1929,0,0,0,3,Marge
