@relation Simpsons
@attribute qtdPixel numeric
@attribute qtdColors numeric
@attribute qtdPixeisBorda numeric
@attribute corPredominante {247.99.16,0.8.132,189.173.107,0.107.173,255.0.0,0.156.222,0.66.132,149.189.30,0.189.0,82.140.24,8.165.255}
@attribute color1 numeric
@attribute color2 numeric
@attribute color3 numeric
@attribute color4 numeric
@attribute color5 numeric
@attribute qtdBranco numeric
@attribute qtdPreto numeric
@attribute qtdVermelho numeric
@attribute qtdLaranja numeric
@attribute qtdAzulEscuro numeric
@attribute qtdAzulClaro numeric
@attribute qtdMarromClaro numeric
@attribute class {Bart,Lisa,Marge,Maggie,Homer}
@data
44800,251,9949,0.189.0,131588,219130,7691324,10333645,15331316,26665,950,0,3121,0,0,0,Bart
32548,247,7668,0.189.0,263174,343808,6250595,12107457,16382971,20462,4351,0,0,153,0,0,Bart
76041,249,18335,0.189.0,131588,1411270,8222580,10670300,15989242,49111,4144,0,0,0,0,0,Bart
145770,240,1088,247.99.16,65794,1008635,6250861,12506573,16580351,79240,8111,347,17443,0,0,0,Bart
73543,251,1008,82.140.24,131586,741630,10844886,14936815,16710788,41659,1495,0,1832,149,0,0,Bart
121976,253,1256,0.189.0,65794,802024,6457536,11255526,15265527,73348,1782,156,0,0,0,0,Bart
84048,249,1203,0.189.0,65794,7105635,10007038,15789816,15911888,43966,1392,0,0,0,0,2,Bart
59148,245,1092,0.189.0,65794,804351,6923891,14210660,15134195,30318,2254,0,0,0,0,0,Bart
65192,248,1940,247.99.16,131587,1612022,13027727,14476524,16598783,38881,1548,0,8691,1,0,0,Bart
122464,246,1256,0.189.0,131588,1270263,13224918,16663551,16711236,80834,2,0,4664,0,0,0,Bart
61776,249,1818,247.99.16,65794,1329150,5044217,7108233,15374291,46845,160,19,110,20,0,214,Bart
86664,250,1317,247.99.16,65794,1468663,13291952,15987703,16598270,60412,1237,0,3861,7,0,0,Bart
40500,251,685,0.189.0,131586,482555,6326434,16645477,16711423,19864,9143,0,2184,0,0,0,Bart
270720,244,3554,247.99.16,65794,1007099,8951731,16185079,16775038,165468,9608,406,19912,150,0,0,Bart
64524,252,763,247.99.16,65794,1007356,8034265,15256238,15330037,29853,1161,0,7916,0,0,0,Bart
62320,255,1302,247.99.16,65794,1141497,5463631,14278376,16776772,33388,2449,95,5203,0,0,0,Bart
93225,250,1619,247.99.16,395022,1200635,4606812,9674416,14278369,49137,616,33,1977,0,0,36,Bart
136708,255,1391,247.99.16,65794,1008123,8426410,15528948,16775294,81785,3056,0,12017,0,0,0,Bart
89768,252,1278,0.189.0,65794,1394431,14905138,15393000,16728832,47921,3623,0,0,0,3941,0,Bart
40424,247,419,247.99.16,65794,1134590,3625863,9214390,15065058,20081,1085,63,1451,0,0,3225,Bart
44173,248,721,247.99.16,131587,1007355,7244976,13486298,16580095,16576,6026,104,4717,0,0,0,Bart
57318,251,1397,255.0.0,197123,1197056,5281454,11055802,13685974,34717,0,314,0,0,0,0,Bart
74240,251,1381,255.0.0,131587,947709,8166596,14342809,15002869,40273,1959,3621,3225,0,0,0,Bart
43274,249,898,247.99.16,65794,1138427,6648465,14409707,16711263,22434,1173,0,3606,1,0,217,Bart
138000,255,1144,0.189.0,394244,602039,2275039,7897249,13425386,79437,270,0,0,0,0,0,Bart
136512,255,0,247.99.16,131587,1660669,5006193,14804974,16750166,66009,8594,153,3538,216,0,1309,Homer
198268,134,2363,189.173.107,65794,1131520,4674959,10595805,16251132,116616,4992,0,0,0,0,9808,Homer
178850,132,2521,189.173.107,65794,1131520,4674958,10989776,16448510,128743,6547,0,0,0,0,7435,Homer
88725,178,1209,0.107.173,131587,1722355,13422548,16290902,16316665,65284,2083,0,0,34,0,963,Homer
169161,235,1911,255.0.0,393730,1065469,2359296,6200167,14541803,65486,4651,82,0,0,0,27,Homer
196544,205,2605,0.107.173,65794,2050537,10263968,11073255,16750167,110614,14373,0,0,200,0,3632,Homer
171925,212,2319,0.107.173,65794,2054141,5791352,15199213,16749908,122077,4701,0,0,71,0,1603,Homer
261488,103,3637,189.173.107,65794,1197312,4087684,10332868,16251132,188867,7499,3,0,0,0,10027,Homer
300465,204,2657,0.107.173,65794,1197568,5857669,15396334,16749908,211750,10034,179,0,145,0,2236,Homer
211280,228,1623,0.107.173,65794,1133823,5528962,9877248,15980227,85365,8936,11,1258,81,0,1339,Homer
215852,215,2654,0.107.173,65794,1199871,6384533,15856094,16749908,122415,10848,0,4101,113,0,2200,Homer
121000,180,1740,0.107.173,65794,1591285,14146525,16487510,16645630,73320,4701,33,0,125,0,1641,Homer
144960,238,1342,189.173.107,65794,1201152,5069197,15593454,16225638,66011,6888,911,0,34,0,3048,Homer
275504,235,2598,82.140.24,65794,1195049,1262846,9867982,15659762,158771,16179,249,0,0,0,1297,Homer
188442,212,2221,0.156.222,65794,1197568,6121880,16119032,16737573,93341,11836,436,0,10,27891,2599,Homer
250510,163,4241,189.173.107,65794,1197312,1507273,6186893,15398136,170045,10513,0,0,0,0,3531,Homer
102676,160,1743,0.107.173,65794,1656820,13948633,16421974,16711423,58712,6992,0,0,84,0,1652,Homer
185760,107,2433,0.107.173,65794,1201662,5923460,15593714,16752216,117754,9416,0,4681,44,0,1865,Homer
97406,155,1416,0.107.173,65794,1722355,14080733,16421975,16711423,61252,5524,0,0,102,0,1316,Homer
119448,251,2055,0.107.173,65795,2646510,15397107,16619094,16738591,68898,7804,17,0,156,360,1753,Homer
107120,243,1520,0.107.173,65794,1919211,14014683,16487510,16645630,63561,5167,0,0,53,0,2746,Homer
156216,251,1731,0.107.173,65794,1656563,14277596,16487510,16645630,102664,5427,0,0,47,0,1884,Homer
183024,248,1705,0.107.173,65794,1459963,14080217,16487510,16645630,137426,6712,0,0,43,0,552,Homer
180596,249,2300,0.107.173,131587,1199615,6715551,16185080,16751447,107909,11233,102,2247,132,0,1518,Homer
