@relation Simpsons
@attribute qtdPixel numeric
@attribute qtdColors numeric
@attribute qtdPixeisBorda numeric
@attribute corPredominante {247.99.16,0.8.132,189.173.107,0.107.173,255.0.0,0.156.222,0.66.132,149.189.30}
@attribute color1 numeric
@attribute color2 numeric
@attribute color3 numeric
@attribute color4 numeric
@attribute color5 numeric
@attribute class {Bart,Lisa,Marge,Maggie,Homer}
@data
169161,235,1911,255.0.0,14804970,393730,5534664,999677,6266470,Homer
196544,205,2605,0.107.173,10135721,1872093,65794,16750166,15594995,Homer
171925,212,2319,0.107.173,2250482,131587,16421974,13752282,16579838,Homer
261488,103,3637,189.173.107,16251132,10332868,4087684,1197312,65794,Homer
300465,204,2657,0.107.173,1459961,16645630,65794,14146525,16553045,Homer
211280,228,1623,0.107.173,1199359,5528962,10863102,16750679,65794,Homer
215852,215,2654,0.107.173,16556379,13489116,16645629,1330937,65794,Homer
121000,180,1740,0.107.173,15330284,65794,1263104,16749909,5792134,Homer
144960,238,1342,189.173.107,14409178,16160102,1922025,16645630,65794,Homer
275504,235,2598,189.173.107,9736395,1262846,66564,16711424,14476516,Homer
188442,212,2221,0.156.222,65794,16119032,6121880,1197568,16737573,Homer
250510,163,4241,189.173.107,6186893,1197312,65794,1507273,15398136,Homer
102676,160,1743,0.107.173,65794,13948633,1656820,16421974,16711423,Homer
185760,107,2433,0.107.173,65794,16752216,1332471,16053492,9543100,Homer
97406,155,1416,0.107.173,16711423,16487510,14080219,65794,1656819,Homer
119448,251,2055,0.107.173,16749907,65795,5684932,2445813,15725555,Homer
107120,243,1520,0.107.173,16487510,16645630,1919211,65794,14014683,Homer
156216,251,1731,0.107.173,15330283,16749909,5858190,65794,1262848,Homer
183024,248,1705,0.107.173,1197312,15658991,65794,7502490,16749909,Homer
180596,249,2300,0.107.173,1265663,65794,5397617,15922167,16751447,Homer
282880,253,1805,189.173.107,6515417,15592175,329318,65794,7559720,Homer
187859,241,1819,0.156.222,16673064,3004079,15462636,65794,1197310,Homer
183456,242,21144,0.107.173,15988218,5661335,16684373,65796,1197568,Homer
113344,243,1373,189.173.107,6601206,65794,16053754,1131520,5660034,Homer
107226,255,1761,0.107.173,16750165,15265519,5139086,1263616,65794,Homer
146730,251,2146,189.173.107,1197312,4868674,65794,4806549,15660025,Homer
132016,251,1825,255.0.0,14803942,12426577,65794,870399,5196884,Homer
60138,253,4019,0.8.132,460295,16250849,13548141,868608,9083032,Homer
92750,239,1685,0.8.132,877558,13555942,131587,7566453,16085576,Homer
44312,241,733,0.8.132,9087709,1001209,12163921,15855856,65794,Homer
78070,253,1185,0.8.132,11767127,5666736,131586,15002089,738559,Homer
61000,253,2419,0.8.132,13820127,9743051,131587,1524973,8436598,Homer
86328,255,1546,0.8.132,65794,13621735,4942946,870143,16354301,Homer
37467,251,455,0.8.132,718743,7237239,209656,9287673,65794,Homer
76342,249,1330,0.8.132,5856871,13554648,11702108,65794,1459708,Homer
78952,250,1284,255.0.0,1401587,11176542,8387974,14279653,66051,Homer
79328,251,1181,0.8.132,131587,12639466,11706763,1333222,16054265,Homer
60993,248,1249,0.8.132,15133936,1459955,11701077,65794,9082532,Homer
92916,241,2066,0.8.132,4345179,2793472,10079185,65794,15792120,Homer
65762,250,973,0.8.132,9149649,12962786,65794,5205942,1131264,Homer
73688,254,1339,0.8.132,8949950,3822725,1197056,65794,12895956,Homer
49878,254,784,0.8.132,65794,9409726,16250356,16761176,935121,Homer
42075,256,1020,0.8.132,5597057,14139372,671488,66562,2620820,Homer
58725,254,979,0.8.132,1197056,3692425,13888501,65794,9022933,Homer
156732,252,2215,0.8.132,309205,10927041,9337148,132101,16054008,Homer
59660,248,1091,0.8.132,12041410,65794,11176538,1065934,15659507,Homer
102220,254,15512,255.0.0,11581394,16711423,1394422,197381,10256485,Homer
129600,247,914,0.8.132,5992864,65794,11976675,4090326,16773277,Homer
120050,255,4865,0.8.132,1258427,131331,13357775,14998158,10328141,Homer
107100,255,1609,0.8.132,8304597,131331,1524204,12961248,15988219,Homer
125836,251,1664,0.107.173,65794,1263359,15964257,15724788,5005195,Homer
142457,254,1577,0.8.132,1064041,9215426,65794,145920,15987962,Homer
56200,256,769,0.8.132,65794,8098221,11715033,2380225,14607597,Homer
90250,255,941,0.8.132,65794,146176,4154259,10202061,14278633,Homer
